"","Indicator","Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","overlap","Indicator_Code","Description"
"13","assembly unicameral-IPU-Number.of.seats","IPU","Assembly Unicameral","Number.of.seats","Assembly Unicameral","73-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.097,"Checks and Balances","Legislative System","Other","Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"14","assembly unicameral-IPU-Number.of.women.parliamentarians","IPU","Assembly Unicameral","Number.of.women.parliamentarians","Assembly Unicameral","150-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.097,"Checks and Balances","Legislative System","Other","Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"15","assembly unicameral-IPU-Percentage.of.women","IPU","Assembly Unicameral","Percentage.of.women","Assembly Unicameral","227-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.097,"Checks and Balances","Legislative System","Other","Assembly Unicameral","",NA,"","","","","",NA,"","","","","","",""
"16","chamber of deputies bicameral-IPU-Number.of.seats","IPU","Chamber of Deputies Bicameral","Number.of.seats","Chamber of Deputies Bicameral","10-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.094,"Checks and Balances","Legislative System","Other","Chamber of Deputies Bicameral","",NA,"","","","","",NA,"","","","","","",""
"17","chamber of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","Chamber of Deputies Bicameral","Number.of.women.parliamentarians","Chamber of Deputies Bicameral","87-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.094,"Checks and Balances","Legislative System","Other","Chamber of Deputies Bicameral","",NA,"","","","","",NA,"","","","","","",""
"18","chamber of deputies bicameral-IPU-Percentage.of.women","IPU","Chamber of Deputies Bicameral","Percentage.of.women","Chamber of Deputies Bicameral","164-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.094,"Checks and Balances","Legislative System","Other","Chamber of Deputies Bicameral","",NA,"","","","","",NA,"","","","","","",""
"19","chamber of deputies unicameral-IPU-Number.of.seats","IPU","Chamber of Deputies Unicameral","Number.of.seats","Chamber of Deputies Unicameral","48-IPU-Number.of.seats","Number of seats","Number of seats","Value",5.294,"Checks and Balances","Legislative System","Other","Chamber of Deputies Unicameral","",NA,"","","","","",NA,"","","","","","",""
"20","chamber of deputies unicameral-IPU-Number.of.women.parliamentarians","IPU","Chamber of Deputies Unicameral","Number.of.women.parliamentarians","Chamber of Deputies Unicameral","125-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",5.294,"Checks and Balances","Legislative System","Other","Chamber of Deputies Unicameral","",NA,"","","","","",NA,"","","","","","",""
"21","chamber of deputies unicameral-IPU-Percentage.of.women","IPU","Chamber of Deputies Unicameral","Percentage.of.women","Chamber of Deputies Unicameral","202-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",5.294,"Checks and Balances","Legislative System","Other","Chamber of Deputies Unicameral","",NA,"","","","","",NA,"","","","","","",""
"22","chamber of senators bicameral-IPU-Number.of.seats","IPU","Chamber of Senators Bicameral","Number.of.seats","Chamber of Senators Bicameral","18-IPU-Number.of.seats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"23","chamber of senators bicameral-IPU-Number.of.women.parliamentarians","IPU","Chamber of Senators Bicameral","Number.of.women.parliamentarians","Chamber of Senators Bicameral","95-IPU-Number.of.women.parliamentarians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"24","chamber of senators bicameral-IPU-Percentage.of.women","IPU","Chamber of Senators Bicameral","Percentage.of.women","Chamber of Senators Bicameral","172-IPU-Percentage.of.women",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"25","congress of deputies bicameral-IPU-Number.of.seats","IPU","Congress of Deputies Bicameral","Number.of.seats","Congress of Deputies Bicameral","68-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.487,"Checks and Balances","Legislative System","Other","Congress of Deputies Bicameral","",NA,"","","","","",NA,"","","","","","",""
"26","congress of deputies bicameral-IPU-Number.of.women.parliamentarians","IPU","Congress of Deputies Bicameral","Number.of.women.parliamentarians","Congress of Deputies Bicameral","145-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.487,"Checks and Balances","Legislative System","Other","Congress of Deputies Bicameral","",NA,"","","","","",NA,"","","","","","",""
"27","congress of deputies bicameral-IPU-Percentage.of.women","IPU","Congress of Deputies Bicameral","Percentage.of.women","Congress of Deputies Bicameral","222-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.487,"Checks and Balances","Legislative System","Other","Congress of Deputies Bicameral","",NA,"","","","","",NA,"","","","","","",""
"28","congress of the republic unicameral-IPU-Number.of.seats","IPU","Congress of the Republic Unicameral","Number.of.seats","Congress of the Republic Unicameral","37-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.387,"Checks and Balances","Legislative System","Other","Congress of the Republic Unicameral","",NA,"","","","","",NA,"","","","","","",""
"29","congress of the republic unicameral-IPU-Number.of.women.parliamentarians","IPU","Congress of the Republic Unicameral","Number.of.women.parliamentarians","Congress of the Republic Unicameral","114-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.387,"Checks and Balances","Legislative System","Other","Congress of the Republic Unicameral","",NA,"","","","","",NA,"","","","","","",""
"30","congress of the republic unicameral-IPU-Percentage.of.women","IPU","Congress of the Republic Unicameral","Percentage.of.women","Congress of the Republic Unicameral","191-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.387,"Checks and Balances","Legislative System","Other","Congress of the Republic Unicameral","",NA,"","","","","",NA,"","","","","","",""
"31","congress unicameral-IPU-Number.of.seats","IPU","Congress Unicameral","Number.of.seats","Congress Unicameral","50-IPU-Number.of.seats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"32","congress unicameral-IPU-Number.of.women.parliamentarians","IPU","Congress Unicameral","Number.of.women.parliamentarians","Congress Unicameral","127-IPU-Number.of.women.parliamentarians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"33","congress unicameral-IPU-Percentage.of.women","IPU","Congress Unicameral","Percentage.of.women","Congress Unicameral","204-IPU-Percentage.of.women",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"34","consultative council bicameral-IPU-Number.of.seats","IPU","Consultative Council Bicameral","Number.of.seats","Consultative Council Bicameral","55-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.075,"Checks and Balances","Legislative System","Other","Consultative Council Bicameral","",NA,"","","","","",NA,"","","","","","",""
"35","consultative council bicameral-IPU-Number.of.women.parliamentarians","IPU","Consultative Council Bicameral","Number.of.women.parliamentarians","Consultative Council Bicameral","132-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.075,"Checks and Balances","Legislative System","Other","Consultative Council Bicameral","",NA,"","","","","",NA,"","","","","","",""
"36","consultative council bicameral-IPU-Percentage.of.women","IPU","Consultative Council Bicameral","Percentage.of.women","Consultative Council Bicameral","209-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.075,"Checks and Balances","Legislative System","Other","Consultative Council Bicameral","",NA,"","","","","",NA,"","","","","","",""
"37","council of representatives bicameral-IPU-Number.of.seats","IPU","Council of Representatives Bicameral","Number.of.seats","Council of Representatives Bicameral","14-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.174,"Checks and Balances","Legislative System","Other","Council of Representatives Bicameral","",NA,"","","","","",NA,"","","","","","",""
"38","council of representatives bicameral-IPU-Number.of.women.parliamentarians","IPU","Council of Representatives Bicameral","Number.of.women.parliamentarians","Council of Representatives Bicameral","91-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.174,"Checks and Balances","Legislative System","Other","Council of Representatives Bicameral","",NA,"","","","","",NA,"","","","","","",""
"39","council of representatives bicameral-IPU-Percentage.of.women","IPU","Council of Representatives Bicameral","Percentage.of.women","Council of Representatives Bicameral","168-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.174,"Checks and Balances","Legislative System","Other","Council of Representatives Bicameral","",NA,"","","","","",NA,"","","","","","",""
"40","council of representatives of iraq unicameral-IPU-Number.of.seats","IPU","Council of Representatives of Iraq Unicameral","Number.of.seats","Council of Representatives of Iraq Unicameral","43-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.209,"Checks and Balances","Legislative System","Other","Council of Representatives of Iraq Unicameral","",NA,"","","","","",NA,"","","","","","",""
"41","council of representatives of iraq unicameral-IPU-Number.of.women.parliamentarians","IPU","Council of Representatives of Iraq Unicameral","Number.of.women.parliamentarians","Council of Representatives of Iraq Unicameral","120-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.209,"Checks and Balances","Legislative System","Other","Council of Representatives of Iraq Unicameral","",NA,"","","","","",NA,"","","","","","",""
"42","council of representatives of iraq unicameral-IPU-Percentage.of.women","IPU","Council of Representatives of Iraq Unicameral","Percentage.of.women","Council of Representatives of Iraq Unicameral","197-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.209,"Checks and Balances","Legislative System","Other","Council of Representatives of Iraq Unicameral","",NA,"","","","","",NA,"","","","","","",""
"43","council of states bicameral-IPU-Number.of.seats","IPU","Council of States Bicameral","Number.of.seats","Council of States Bicameral","41-IPU-Number.of.seats","Number of seats","Number of seats","Value",5.243,"Checks and Balances","Legislative System","Other","Council of States Bicameral","",NA,"","","","","",NA,"","","","","","",""
"44","council of states bicameral-IPU-Number.of.women.parliamentarians","IPU","Council of States Bicameral","Number.of.women.parliamentarians","Council of States Bicameral","118-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",5.243,"Checks and Balances","Legislative System","Other","Council of States Bicameral","",NA,"","","","","",NA,"","","","","","",""
"45","council of states bicameral-IPU-Percentage.of.women","IPU","Council of States Bicameral","Percentage.of.women","Council of States Bicameral","195-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",5.243,"Checks and Balances","Legislative System","Other","Council of States Bicameral","",NA,"","","","","",NA,"","","","","","",""
"46","council of the federation bicameral-IPU-Number.of.seats","IPU","Council of the Federation Bicameral","Number.of.seats","Council of the Federation Bicameral","62-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.733,"Checks and Balances","Legislative System","Other","Council of the Federation Bicameral","",NA,"","","","","",NA,"","","","","","",""
"47","council of the federation bicameral-IPU-Number.of.women.parliamentarians","IPU","Council of the Federation Bicameral","Number.of.women.parliamentarians","Council of the Federation Bicameral","139-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.733,"Checks and Balances","Legislative System","Other","Council of the Federation Bicameral","",NA,"","","","","",NA,"","","","","","",""
"48","council of the federation bicameral-IPU-Percentage.of.women","IPU","Council of the Federation Bicameral","Percentage.of.women","Council of the Federation Bicameral","216-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.733,"Checks and Balances","Legislative System","Other","Council of the Federation Bicameral","",NA,"","","","","",NA,"","","","","","",""
"49","council of the nation bicameral-IPU-Number.of.seats","IPU","Council of the Nation Bicameral","Number.of.seats","Council of the Nation Bicameral","5-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.069,"Checks and Balances","Legislative System","Other","Council of the Nation Bicameral","",NA,"","","","","",NA,"","","","","","",""
"50","council of the nation bicameral-IPU-Number.of.women.parliamentarians","IPU","Council of the Nation Bicameral","Number.of.women.parliamentarians","Council of the Nation Bicameral","82-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.069,"Checks and Balances","Legislative System","Other","Council of the Nation Bicameral","",NA,"","","","","",NA,"","","","","","",""
"51","council of the nation bicameral-IPU-Percentage.of.women","IPU","Council of the Nation Bicameral","Percentage.of.women","Council of the Nation Bicameral","159-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.069,"Checks and Balances","Legislative System","Other","Council of the Nation Bicameral","",NA,"","","","","",NA,"","","","","","",""
"52","council of the republic bicameral-IPU-Number.of.seats","IPU","Council of the Republic Bicameral","Number.of.seats","Council of the Republic Bicameral","16-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.743,"Checks and Balances","Legislative System","Other","Council of the Republic Bicameral","",NA,"","","","","",NA,"","","","","","",""
"53","council of the republic bicameral-IPU-Number.of.women.parliamentarians","IPU","Council of the Republic Bicameral","Number.of.women.parliamentarians","Council of the Republic Bicameral","93-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.743,"Checks and Balances","Legislative System","Other","Council of the Republic Bicameral","",NA,"","","","","",NA,"","","","","","",""
"54","council of the republic bicameral-IPU-Percentage.of.women","IPU","Council of the Republic Bicameral","Percentage.of.women","Council of the Republic Bicameral","170-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.743,"Checks and Balances","Legislative System","Other","Council of the Republic Bicameral","",NA,"","","","","",NA,"","","","","","",""
"55","croatian parliament unicameral-IPU-Number.of.seats","IPU","Croatian Parliament Unicameral","Number.of.seats","Croatian Parliament Unicameral","26-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.785,"Checks and Balances","Legislative System","Other","Croatian Parliament Unicameral","",NA,"","","","","",NA,"","","","","","",""
"56","croatian parliament unicameral-IPU-Number.of.women.parliamentarians","IPU","Croatian Parliament Unicameral","Number.of.women.parliamentarians","Croatian Parliament Unicameral","103-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.785,"Checks and Balances","Legislative System","Other","Croatian Parliament Unicameral","",NA,"","","","","",NA,"","","","","","",""
"57","croatian parliament unicameral-IPU-Percentage.of.women","IPU","Croatian Parliament Unicameral","Percentage.of.women","Croatian Parliament Unicameral","180-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.785,"Checks and Balances","Legislative System","Other","Croatian Parliament Unicameral","",NA,"","","","","",NA,"","","","","","",""
"58","diet unicameral-IPU-Number.of.seats","IPU","Diet Unicameral","Number.of.seats","Diet Unicameral","47-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.116,"Checks and Balances","Legislative System","Other","Diet Unicameral","",NA,"","","","","",NA,"","","","","","",""
"59","diet unicameral-IPU-Number.of.women.parliamentarians","IPU","Diet Unicameral","Number.of.women.parliamentarians","Diet Unicameral","124-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.116,"Checks and Balances","Legislative System","Other","Diet Unicameral","",NA,"","","","","",NA,"","","","","","",""
"60","diet unicameral-IPU-Percentage.of.women","IPU","Diet Unicameral","Percentage.of.women","Diet Unicameral","201-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.116,"Checks and Balances","Legislative System","Other","Diet Unicameral","",NA,"","","","","",NA,"","","","","","",""
"61","federal council bicameral-IPU-Number.of.seats","IPU","Federal Council Bicameral","Number.of.seats","Federal Council Bicameral","12-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.378,"Checks and Balances","Legislative System","Other","Federal Council Bicameral","",NA,"","","","","",NA,"","","","","","",""
"62","federal council bicameral-IPU-Number.of.women.parliamentarians","IPU","Federal Council Bicameral","Number.of.women.parliamentarians","Federal Council Bicameral","89-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.378,"Checks and Balances","Legislative System","Other","Federal Council Bicameral","",NA,"","","","","",NA,"","","","","","",""
"63","federal council bicameral-IPU-Percentage.of.women","IPU","Federal Council Bicameral","Percentage.of.women","Federal Council Bicameral","166-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.378,"Checks and Balances","Legislative System","Other","Federal Council Bicameral","",NA,"","","","","",NA,"","","","","","",""
"64","federal national council unicameral-IPU-Number.of.seats","IPU","Federal National Council Unicameral","Number.of.seats","Federal National Council Unicameral","75-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.959,"Checks and Balances","Legislative System","Other","Federal National Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"65","federal national council unicameral-IPU-Number.of.women.parliamentarians","IPU","Federal National Council Unicameral","Number.of.women.parliamentarians","Federal National Council Unicameral","152-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.959,"Checks and Balances","Legislative System","Other","Federal National Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"66","federal national council unicameral-IPU-Percentage.of.women","IPU","Federal National Council Unicameral","Percentage.of.women","Federal National Council Unicameral","229-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.959,"Checks and Balances","Legislative System","Other","Federal National Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"67","federal senate bicameral-IPU-Number.of.seats","IPU","Federal Senate Bicameral","Number.of.seats","Federal Senate Bicameral","20-IPU-Number.of.seats","Number of seats","Number of seats","Value",5.351,"Checks and Balances","Legislative System","Other","Federal Senate Bicameral","",NA,"","","","","",NA,"","","","","","",""
"68","federal senate bicameral-IPU-Number.of.women.parliamentarians","IPU","Federal Senate Bicameral","Number.of.women.parliamentarians","Federal Senate Bicameral","97-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",5.351,"Checks and Balances","Legislative System","Other","Federal Senate Bicameral","",NA,"","","","","",NA,"","","","","","",""
"69","federal senate bicameral-IPU-Percentage.of.women","IPU","Federal Senate Bicameral","Percentage.of.women","Federal Senate Bicameral","174-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",5.351,"Checks and Balances","Legislative System","Other","Federal Senate Bicameral","",NA,"","","","","",NA,"","","","","","",""
"70","general council unicameral-IPU-Number.of.seats","IPU","General Council Unicameral","Number.of.seats","General Council Unicameral","6-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.37,"Checks and Balances","Legislative System","Other","General Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"71","general council unicameral-IPU-Number.of.women.parliamentarians","IPU","General Council Unicameral","Number.of.women.parliamentarians","General Council Unicameral","83-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.37,"Checks and Balances","Legislative System","Other","General Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"72","general council unicameral-IPU-Percentage.of.women","IPU","General Council Unicameral","Percentage.of.women","General Council Unicameral","160-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.37,"Checks and Balances","Legislative System","Other","General Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"73","german bundestag bicameral-IPU-Number.of.seats","IPU","German Bundestag Bicameral","Number.of.seats","German Bundestag Bicameral","35-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.147,"Checks and Balances","Legislative System","Other","German Bundestag Bicameral","",NA,"","","","","",NA,"","","","","","",""
"74","german bundestag bicameral-IPU-Number.of.women.parliamentarians","IPU","German Bundestag Bicameral","Number.of.women.parliamentarians","German Bundestag Bicameral","112-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.147,"Checks and Balances","Legislative System","Other","German Bundestag Bicameral","",NA,"","","","","",NA,"","","","","","",""
"75","german bundestag bicameral-IPU-Percentage.of.women","IPU","German Bundestag Bicameral","Percentage.of.women","German Bundestag Bicameral","189-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.147,"Checks and Balances","Legislative System","Other","German Bundestag Bicameral","",NA,"","","","","",NA,"","","","","","",""
"76","grand national assembly of turkey unicameral-IPU-Number.of.seats","IPU","Grand National Assembly of Turkey Unicameral","Number.of.seats","Grand National Assembly of Turkey Unicameral","72-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.4,"Checks and Balances","Legislative System","Other","Grand National Assembly of Turkey Unicameral","",NA,"","","","","",NA,"","","","","","",""
"77","grand national assembly of turkey unicameral-IPU-Number.of.women.parliamentarians","IPU","Grand National Assembly of Turkey Unicameral","Number.of.women.parliamentarians","Grand National Assembly of Turkey Unicameral","149-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.4,"Checks and Balances","Legislative System","Other","Grand National Assembly of Turkey Unicameral","",NA,"","","","","",NA,"","","","","","",""
"78","grand national assembly of turkey unicameral-IPU-Percentage.of.women","IPU","Grand National Assembly of Turkey Unicameral","Percentage.of.women","Grand National Assembly of Turkey Unicameral","226-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.4,"Checks and Balances","Legislative System","Other","Grand National Assembly of Turkey Unicameral","",NA,"","","","","",NA,"","","","","","",""
"79","great and general council unicameral-IPU-Number.of.seats","IPU","Great and General Council Unicameral","Number.of.seats","Great and General Council Unicameral","63-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.281,"Checks and Balances","Legislative System","Other","Great and General Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"80","great and general council unicameral-IPU-Number.of.women.parliamentarians","IPU","Great and General Council Unicameral","Number.of.women.parliamentarians","Great and General Council Unicameral","140-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.281,"Checks and Balances","Legislative System","Other","Great and General Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"81","great and general council unicameral-IPU-Percentage.of.women","IPU","Great and General Council Unicameral","Percentage.of.women","Great and General Council Unicameral","217-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.281,"Checks and Balances","Legislative System","Other","Great and General Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"82","hellenic parliament unicameral-IPU-Number.of.seats","IPU","Hellenic Parliament Unicameral","Number.of.seats","Hellenic Parliament Unicameral","36-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.142,"Checks and Balances","Legislative System","Other","Hellenic Parliament Unicameral","",NA,"","","","","",NA,"","","","","","",""
"83","hellenic parliament unicameral-IPU-Number.of.women.parliamentarians","IPU","Hellenic Parliament Unicameral","Number.of.women.parliamentarians","Hellenic Parliament Unicameral","113-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.142,"Checks and Balances","Legislative System","Other","Hellenic Parliament Unicameral","",NA,"","","","","",NA,"","","","","","",""
"84","hellenic parliament unicameral-IPU-Percentage.of.women","IPU","Hellenic Parliament Unicameral","Percentage.of.women","Hellenic Parliament Unicameral","190-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.142,"Checks and Balances","Legislative System","Other","Hellenic Parliament Unicameral","",NA,"","","","","",NA,"","","","","","",""
"85","house of assembly bicameral-IPU-Number.of.seats","IPU","House of Assembly Bicameral","Number.of.seats","House of Assembly Bicameral","13-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.793,"Checks and Balances","Legislative System","Other","House of Assembly Bicameral","",NA,"","","","","",NA,"","","","","","",""
