"","Indicator","Indicator_Id","Indicator_Name","Display_Name","Dataset","answer","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"19","crime is effectively controlled-WJP-Total","39-WJP-Total","3.1","Crime is effectively controlled","WJP","Total","Total","Total","Value",4.436,"Citizen Engagement","Open Government and Transparency","Other","Crime is effectively controlled (51)","",NA,"","","","","",NA,"","","","","WJP36","WJP36","","",""
"20","crime is effectively controlled-WJP-Total","39-WJP-Total","3.1","Crime is effectively controlled","WJP","Total","Total","Total","Value",4.028,"Security","Crime","Other","Crime is effectively controlled (31)","",NA,"","","","","",NA,"","","","","WJP17","WJP17","","",""
"21","crime is effectively controlled-WJP-Total","66-WJP-Total","5.1","Crime is effectively controlled","WJP","Total","Total","Total","Value",4.436,"Citizen Engagement","Open Government and Transparency","Other","Crime is effectively controlled (51)","",NA,"","","","","",NA,"","","","","WJP36","WJP36","","",""
"22","crime is effectively controlled-WJP-Total","66-WJP-Total","5.1","Crime is effectively controlled","WJP","Total","Total","Total","Value",4.028,"Security","Crime","Other","Crime is effectively controlled (31)","",NA,"","","","","",NA,"","","","","WJP17","WJP17","","",""
"23","criminal adjudication system is timely and effective-WJP-Total","6-WJP-Total","8.2","Criminal adjudication system is timely and effective","WJP","Total","Total","Total","Value",5.53,"Checks and Balances","Judiciary System","Other","Criminal adjudication system is timely and effective (82)","",NA,"","","","","",NA,"","","","","WJP60","WJP60","","",""
"24","criminal investigation system is effective-WJP-Total","7-WJP-Total","8.1","Criminal investigation system is effective","WJP","Total","Total","Total","Value",4.539,"Checks and Balances","Judiciary System","Other","Criminal investigation system is effective (81)","",NA,"","","","","",NA,"","","","","WJP59","WJP59","","",""
"25","criminal system is free of corruption-WJP-Total","3-WJP-Total","8.5","Criminal system is free of corruption","WJP","Total","Total","Total","Value",4.972,"Checks and Balances","Judiciary System","Other","Criminal system is free of corruption (85)","",4.002,"Absence of Corruption","Prevention and sanction","Other","Criminal system is free of corruption (85)","",4.003,"Absence of Corruption","Incidence","Other","Criminal system is free of corruption (85)","WJP63","WJP63","","",""
"26","criminal system is free of improper government influence-WJP-Total","2-WJP-Total","8.6","Criminal system is free of improper government influence","WJP","Total","Total","Total","Value",4.013,"Checks and Balances","Judiciary System","Other","Criminal system is free of improper government influence (86)","",4.005,"Absence of Corruption","Prevention and sanction","Other","Criminal system is free of improper government influence (86)","",4.002,"Absence of Corruption","Incidence","Other","Criminal system is free of improper government influence (86)","WJP64","WJP64","","",""
"27","criminal system is impartial-WJP-Total","4-WJP-Total","8.4","Criminal system is impartial","WJP","Total","Total","Total","Value",5.323,"Checks and Balances","Judiciary System","Other","Criminal system is impartial (84)","",NA,"","","","","",NA,"","","","","WJP62","WJP62","","",""
"28","due process is respected in administrative proceedings-WJP-Total","18-WJP-Total","6.4","Due process is respected in administrative proceedings","WJP","Total","Total","Total","Value",2.06,"Public Sector Management","Enforcement","Other","Due process is respected in administrative proceedings (64)","",NA,"","","","","",NA,"","","","","WJP46","WJP46","","",""
"29","due process of law and rights of the accused-WJP-Total","33-WJP-Total","4.3","Due process of law and rights of the accused","WJP","Total","Total","Total","Value",4.317,"Checks and Balances","Judiciary System","Other","Due process of law and rights of the accused (87)","",NA,"","","","","",NA,"","","","","WJP65","WJP65","","",""
"30","due process of law and rights of the accused-WJP-Total","33-WJP-Total","4.3","Due process of law and rights of the accused","WJP","Total","Total","Total","Value",1.01,"Citizen Engagement","Civil Rights","Other","Due process of law and rights of the accused (43)","",NA,"","","","","",NA,"","","","","WJP30","WJP30","","",""
"31","due process of law and rights of the accused-WJP-Total","1-WJP-Total","8.7","Due process of law and rights of the accused","WJP","Total","Total","Total","Value",4.317,"Checks and Balances","Judiciary System","Other","Due process of law and rights of the accused (87)","",NA,"","","","","",NA,"","","","","WJP65","WJP65","","",""
"32","due process of law and rights of the accused-WJP-Total","1-WJP-Total","8.7","Due process of law and rights of the accused","WJP","Total","Total","Total","Value",1.01,"Citizen Engagement","Civil Rights","Other","Due process of law and rights of the accused (43)","",NA,"","","","","",NA,"","","","","WJP30","WJP30","","",""
"33","due process of law and the rights of the accused-WJP-Total","72-WJP-Total","8.7","Due process of law and the rights of the accused","WJP","Total","Total","Total","Value",4.717,"Checks and Balances","Judiciary System","Other","Due process of law and the rights of the accused (87)","",NA,"","","","","",NA,"","","","","WJP66","WJP66","","",""
"34","equal treatment and absence of discrimination-WJP-Total","35-WJP-Total","4.1","Equal treatment and absence of discrimination","WJP","Total","Total","Total","Value",2.02,"Citizen Engagement","Civil Rights","Other","Equal treatment and absence of discrimination (41)","",NA,"","","","","",NA,"","","","","WJP28","WJP28","","",""
"35","factor  absence of corruption-WJP-Total","45-WJP-Total","Factor 2","Factor  Absence of Corruption","WJP","Total","Total","Total","Value",4.014,"Absence of Corruption","Perception","Other","Factor 2 Absence of Corruption","",NA,"","","","","",NA,"","","","","WJP69","WJP69","","",""
"36","factor  civil justice-WJP-Total","16-WJP-Total","Factor 7","Factor  Civil Justice","WJP","Total","Total","Total","Value",4.25,"Checks and Balances","Judiciary System","Other","Factor 7 Civil Justice","",NA,"","","","","",NA,"","","","","WJP76","WJP76","","",""
"37","factor  constraints on government powers-WJP-Total","53-WJP-Total","Factor 1","Factor  Constraints on Government Powers","WJP","Total","Total","Total","Value",4.017,"Checks and Balances","Judiciary System","Other","Factor 1 Constraints on Government Powers","",NA,"","","","","",NA,"","","","","WJP67","WJP67","","",""
"38","factor  criminal justice-WJP-Total","8-WJP-Total","Factor 8","Factor  Criminal Justice","WJP","Total","Total","Total","Value",5.159,"Checks and Balances","Judiciary System","Other","Factor 8 Criminal Justice","",NA,"","","","","",NA,"","","","","WJP77","WJP77","","",""
"39","factor  fundamental rights-WJP-Total","36-WJP-Total","Factor 4","Factor  Fundamental Rights","WJP","Total","Total","Total","Value",4.333,"Citizen Engagement","Civil Rights","Other","Factor 4 Fundamental Rights","",NA,"","","","","",NA,"","","","","WJP72","WJP72","","",""
"40","factor  limited government powers-WJP-Total","52-WJP-Total","Factor 1","Factor  Limited Government Powers","WJP","Total","Total","Total","Value",5.724,"Checks and Balances","Judiciary System","Other","Factor 1 Limited Government Powers","",NA,"","","","","",NA,"","","","","WJP68","WJP68","","",""
"41","factor  open government-WJP-Total","27-WJP-Total","Factor 5","Factor  Open Government","WJP","Total","Total","Total","Value",4.2,"Citizen Engagement","Open Government and Transparency","Other","Factor 5 Open Government","",NA,"","","","","",NA,"","","","","WJP73","WJP73","","",""
"42","factor  open government-WJP-Total","27-WJP-Total","Factor 5","Factor  Open Government","WJP","Total","Total","Total","Value",4.01,"Security","Crime","Other","Factor 3 Open Government","",NA,"","","","","",NA,"","","","","WJP70","WJP70","","",""
"43","factor  open government-WJP-Total","60-WJP-Total","Factor 3","Factor  Open Government","WJP","Total","Total","Total","Value",4.2,"Citizen Engagement","Open Government and Transparency","Other","Factor 5 Open Government","",NA,"","","","","",NA,"","","","","WJP73","WJP73","","",""
"44","factor  open government-WJP-Total","60-WJP-Total","Factor 3","Factor  Open Government","WJP","Total","Total","Total","Value",4.01,"Security","Crime","Other","Factor 3 Open Government","",NA,"","","","","",NA,"","","","","WJP70","WJP70","","",""
"45","factor  order and security-WJP-Total","40-WJP-Total","Factor 3","Factor  Order and Security","WJP","Total","Total","Total","Value",4.056,"Citizen Engagement","Open Government and Transparency","Other","Factor 5 Order and Security","",NA,"","","","","",NA,"","","","","WJP74","WJP74","","",""
"46","factor  order and security-WJP-Total","40-WJP-Total","Factor 3","Factor  Order and Security","WJP","Total","Total","Total","Value",4.012,"Security","Crime","Other","Factor 3 Order and Security","",NA,"","","","","",NA,"","","","","WJP71","WJP71","","",""
"47","factor  order and security-WJP-Total","65-WJP-Total","Factor 5","Factor  Order and Security","WJP","Total","Total","Total","Value",4.056,"Citizen Engagement","Open Government and Transparency","Other","Factor 5 Order and Security","",NA,"","","","","",NA,"","","","","WJP74","WJP74","","",""
"48","factor  order and security-WJP-Total","65-WJP-Total","Factor 5","Factor  Order and Security","WJP","Total","Total","Total","Value",4.012,"Security","Crime","Other","Factor 3 Order and Security","",NA,"","","","","",NA,"","","","","WJP71","WJP71","","",""
"49","factor  regulatory enforcement-WJP-Total","22-WJP-Total","Factor 6","Factor  Regulatory Enforcement","WJP","Total","Total","Total","Value",4.226,"Public Sector Management","Enforcement","Other","Factor 6 Regulatory Enforcement","",NA,"","","","","",NA,"","","","","WJP75","WJP75","","",""
"50","freedom from arbitrary interference with privacy is effectively guaranteed-WJP-Total","30-WJP-Total","4.6","Freedom from arbitrary interference with privacy is effectively guaranteed","WJP","Total","Total","Total","Value",4.231,"Citizen Engagement","Civil Rights","Other","Freedom from arbitrary interference with privacy is effectively guaranteed (46)","",NA,"","","","","",NA,"","","","","WJP33","WJP33","","",""
"51","freedom of assembly and association is effectively guaranteed-WJP-Total","29-WJP-Total","4.7","Freedom of assembly and association is effectively guaranteed","WJP","Total","Total","Total","Value",4.223,"Citizen Engagement","Civil Society Participation","Other","Freedom of assembly and association is effectively guaranteed (47)","",NA,"","","","","",NA,"","","","","WJP34","WJP34","","",""
"52","freedom of belief and religion is effectively guaranteed-WJP-Total","31-WJP-Total","4.5","Freedom of belief and religion is effectively guaranteed","WJP","Total","Total","Total","Value",2.01,"Citizen Engagement","Civil Rights","Other","Freedom of belief and religion is effectively guaranteed (45)","",NA,"","","","","",NA,"","","","","WJP32","WJP32","","",""
"53","freedom of opinion and expression is effectively guaranteed-WJP-Total","32-WJP-Total","4.4","Freedom of opinion and expression is effectively guaranteed","WJP","Total","Total","Total","Value",1.02,"Citizen Engagement","Freedom of expression","Other","Freedom of opinion and expression is effectively guaranteed (44)","",NA,"","","","","",NA,"","","","","WJP31","WJP31","","",""
"54","fundamental labor rights are effectively guaranteed-WJP-Total","28-WJP-Total","4.8","Fundamental labor rights are effectively guaranteed","WJP","Total","Total","Total","Value",4.265,"Citizen Engagement","Civil Rights","Other","Fundamental labor rights are effectively guaranteed (48)","",NA,"","","","","",NA,"","","","","WJP35","WJP35","","",""
"55","government officials are sanctioned for misconduct-WJP-Total","57-WJP-Total","1.4","Government officials are sanctioned for misconduct","WJP","Total","Total","Total","Value",4.302,"Checks and Balances","Oversight institutions","Other","Government officials are sanctioned for misconduct (14)","",NA,"","","","","",NA,"","","","","WJP6","WJP6","","",""
"56","government officials are sanctioned for misconduct-WJP-Total","57-WJP-Total","1.4","Government officials are sanctioned for misconduct","WJP","Total","Total","Total","Value",4.752,"Checks and Balances","Judiciary System","Other","Government officials are sanctioned for misconduct (15)","",NA,"","","","","",NA,"","","","","WJP8","WJP8","","",""
"57","government officials are sanctioned for misconduct-WJP-Total","48-WJP-Total","1.5","Government officials are sanctioned for misconduct","WJP","Total","Total","Total","Value",4.302,"Checks and Balances","Oversight institutions","Other","Government officials are sanctioned for misconduct (14)","",NA,"","","","","",NA,"","","","","WJP6","WJP6","","",""
"58","government officials are sanctioned for misconduct-WJP-Total","48-WJP-Total","1.5","Government officials are sanctioned for misconduct","WJP","Total","Total","Total","Value",4.752,"Checks and Balances","Judiciary System","Other","Government officials are sanctioned for misconduct (15)","",NA,"","","","","",NA,"","","","","WJP8","WJP8","","",""
"59","government officials in the executive branch do not use public office for private gain-WJP-Total","44-WJP-Total","2.1","Government officials in the executive branch do not use public office for private gain","WJP","Total","Total","Total","Value",4.672,"Public Sector Management","Personnel Management","Other","Government officials in the executive branch do not use public office for private gain (21)","",4.004,"Absence of Corruption","Perception","Other","Government officials in the executive branch do not use public office for private gain (21)","",NA,"","","","","WJP13","WJP13","","",""
"60","government officials in the judicial branch do not use public office for private gain-WJP-Total","43-WJP-Total","2.2","Government officials in the judicial branch do not use public office for private gain","WJP","Total","Total","Total","Value",4.122,"Absence of Corruption","Perception","Other","Government officials in the judicial branch do not use public office for private gain (22)","",NA,"","","","","",NA,"","","","","WJP14","WJP14","","",""
"61","government officials in the legislative branch do not use public office for private gain-WJP-Total","41-WJP-Total","2.4","Government officials in the legislative branch do not use public office for private gain","WJP","Total","Total","Total","Value",5.366,"Checks and Balances","Legislative System","Other","Government officials in the legislative branch do not use public office for private gain (24)","",4.003,"Absence of Corruption","Perception","Other","Government officials in the legislative branch do not use public office for private gain (24)","",NA,"","","","","WJP16","WJP16","","",""
"62","government officials in the police and the military do not use public office for private gain-WJP-Total","42-WJP-Total","2.3","Government officials in the police and the military do not use public office for private gain","WJP","Total","Total","Total","Value",3.05,"Absence of Corruption","Perception","Other","Government officials in the police and the military do not use public office for private gain (23)","",4.007,"Security","Police and Military","Other","Government officials in the police and the military do not use public office for private gain (23)","",NA,"","","","","WJP15","WJP15","","",""
"63","government powers are effectively limited by independent auditing and review-WJP-Total","56-WJP-Total","1.3","Government powers are effectively limited by independent auditing and review","WJP","Total","Total","Total","Value",4.639,"Checks and Balances","Judiciary System","Other","Government powers are effectively limited by independent auditing and review (13)","",NA,"","","","","",NA,"","","","","WJP4","WJP4","","",""
"64","government powers are effectively limited by independent auditing and review-WJP-Total","56-WJP-Total","1.3","Government powers are effectively limited by independent auditing and review","WJP","Total","Total","Total","Value",3.06,"Checks and Balances","Oversight institutions","Other","Government powers are effectively limited by independent auditing and review (14)","",NA,"","","","","",NA,"","","","","WJP7","WJP7","","",""
"65","government powers are effectively limited by independent auditing and review-WJP-Total","49-WJP-Total","1.4","Government powers are effectively limited by independent auditing and review","WJP","Total","Total","Total","Value",4.639,"Checks and Balances","Judiciary System","Other","Government powers are effectively limited by independent auditing and review (13)","",NA,"","","","","",NA,"","","","","WJP4","WJP4","","",""
"66","government powers are effectively limited by independent auditing and review-WJP-Total","49-WJP-Total","1.4","Government powers are effectively limited by independent auditing and review","WJP","Total","Total","Total","Value",3.06,"Checks and Balances","Oversight institutions","Other","Government powers are effectively limited by independent auditing and review (14)","",NA,"","","","","",NA,"","","","","WJP7","WJP7","","",""
"67","government powers are effectively limited by the judiciary-WJP-Total","50-WJP-Total","1.3","Government powers are effectively limited by the judiciary","WJP","Total","Total","Total","Value",5.393,"Checks and Balances","Legislative System","Other","Government powers are effectively limited by the judiciary (12)","",NA,"","","","","",NA,"","","","","WJP2","WJP2","","",""
"68","government powers are effectively limited by the judiciary-WJP-Total","50-WJP-Total","1.3","Government powers are effectively limited by the judiciary","WJP","Total","Total","Total","Value",5.471,"Checks and Balances","Judiciary System","Other","Government powers are effectively limited by the judiciary (13)","",NA,"","","","","",NA,"","","","","WJP5","WJP5","","",""
"69","government powers are effectively limited by the judiciary-WJP-Total","55-WJP-Total","1.2","Government powers are effectively limited by the judiciary","WJP","Total","Total","Total","Value",5.393,"Checks and Balances","Legislative System","Other","Government powers are effectively limited by the judiciary (12)","",NA,"","","","","",NA,"","","","","WJP2","WJP2","","",""
"70","government powers are effectively limited by the judiciary-WJP-Total","55-WJP-Total","1.2","Government powers are effectively limited by the judiciary","WJP","Total","Total","Total","Value",5.471,"Checks and Balances","Judiciary System","Other","Government powers are effectively limited by the judiciary (13)","",NA,"","","","","",NA,"","","","","WJP5","WJP5","","",""
"71","government powers are effectively limited by the legislature-WJP-Total","54-WJP-Total","1.1","Government powers are effectively limited by the legislature","WJP","Total","Total","Total","Value",2.08,"Checks and Balances","Legislative System","Other","Government powers are effectively limited by the legislature (12)","",NA,"","","","","",NA,"","","","","WJP3","WJP3","","",""
"72","government powers are effectively limited by the legislature-WJP-Total","54-WJP-Total","1.1","Government powers are effectively limited by the legislature","WJP","Total","Total","Total","Value",4.729,"Checks and Balances","Judiciary System","Other","Government powers are effectively limited by the legislature (11)","",NA,"","","","","",NA,"","","","","WJP1","WJP1","","",""
"73","government powers are effectively limited by the legislature-WJP-Total","51-WJP-Total","1.2","Government powers are effectively limited by the legislature","WJP","Total","Total","Total","Value",2.08,"Checks and Balances","Legislative System","Other","Government powers are effectively limited by the legislature (12)","",NA,"","","","","",NA,"","","","","WJP3","WJP3","","",""
"74","government powers are effectively limited by the legislature-WJP-Total","51-WJP-Total","1.2","Government powers are effectively limited by the legislature","WJP","Total","Total","Total","Value",4.729,"Checks and Balances","Judiciary System","Other","Government powers are effectively limited by the legislature (11)","",NA,"","","","","",NA,"","","","","WJP1","WJP1","","",""
"75","government powers are subject to nongovernmental checks-WJP-Total","47-WJP-Total","1.6","Government powers are subject to nongovernmental checks","WJP","Total","Total","Total","Value",4.244,"Political Accountability","Public Accountability Mechanisns","Other","Government powers are subject to non-governmental checks (16)","",NA,"","","","","",NA,"","","","","WJP10","WJP10","","",""
"76","government powers are subject to nongovernmental checks-WJP-Total","47-WJP-Total","1.6","Government powers are subject to nongovernmental checks","WJP","Total","Total","Total","Value",3.07,"Checks and Balances","Judiciary System","Other","Government powers are subject to non-governmental checks (15)¥Ë_","",NA,"","","","","",NA,"","","","","WJP9","WJP9","","",""
"77","government powers are subject to nongovernmental checks-WJP-Total","58-WJP-Total","1.5","Government powers are subject to nongovernmental checks","WJP","Total","Total","Total","Value",4.244,"Political Accountability","Public Accountability Mechanisns","Other","Government powers are subject to non-governmental checks (16)","",NA,"","","","","",NA,"","","","","WJP10","WJP10","","",""
"78","government powers are subject to nongovernmental checks-WJP-Total","58-WJP-Total","1.5","Government powers are subject to nongovernmental checks","WJP","Total","Total","Total","Value",3.07,"Checks and Balances","Judiciary System","Other","Government powers are subject to non-governmental checks (15)¥Ë_","",NA,"","","","","",NA,"","","","","WJP9","WJP9","","",""
"79","government regulations are applied and enforced without improper influence-WJP-Total","20-WJP-Total","6.2","Government regulations are applied and enforced without improper influence","WJP","Total","Total","Total","Value",4.289,"Public Sector Management","Enforcement","Other","Government regulations are applied and enforced without improper influence (62)","",NA,"","","","","",NA,"","","","","WJP44","WJP44","","",""
"80","government regulations are effectively enforced-WJP-Total","21-WJP-Total","6.1","Government regulations are effectively enforced","WJP","Total","Total","Total","Value",3.05,"Public Sector Management","Enforcement","Other","Government regulations are effectively enforced (61)","",NA,"","","","","",NA,"","","","","WJP43","WJP43","","",""
"81","official information is available on request-WJP-Total","23-WJP-Total","5.4","Official information is available on request","WJP","Total","Total","Total","Value",4.254,"Checks and Balances","Oversight institutions","Other","Official information is available on request (34)","",NA,"","","","","",NA,"","","","","WJP27","WJP27","","",""
"82","official information is available on request-WJP-Total","23-WJP-Total","5.4","Official information is available on request","WJP","Total","Total","Total","Value",2.07,"Citizen Engagement","Open Government and Transparency","Other","Official information is available on request (54)","",NA,"","","","","",NA,"","","","","WJP42","WJP42","","",""
"83","official information is available on request-WJP-Total","76-WJP-Total","3.4","Official information is available on request","WJP","Total","Total","Total","Value",4.254,"Checks and Balances","Oversight institutions","Other","Official information is available on request (34)","",NA,"","","","","",NA,"","","","","WJP27","WJP27","","",""
"84","official information is available on request-WJP-Total","76-WJP-Total","3.4","Official information is available on request","WJP","Total","Total","Total","Value",2.07,"Citizen Engagement","Open Government and Transparency","Other","Official information is available on request (54)","",NA,"","","","","",NA,"","","","","WJP42","WJP42","","",""
"85","people can access and afford civil justice-WJP-Total","15-WJP-Total","7.1","People can access and afford civil justice","WJP","Total","Total","Total","Value",4.262,"Checks and Balances","Judiciary System","Other","People can access and afford civil justice (71)","",NA,"","","","","",NA,"","","","","WJP49","WJP49","","",""
"86","people do not resort to violence to redress personal grievances-WJP-Total","68-WJP-Total","5.3","People do not resort to violence to redress personal grievances","WJP","Total","Total","Total","Value",4.082,"Security","Crime","Other","People do not resort to violence to redress personal grievances (33)","",NA,"","","","","",NA,"","","","","WJP24","WJP24","","",""
"87","people do not resort to violence to redress personal grievances-WJP-Total","68-WJP-Total","5.3","People do not resort to violence to redress personal grievances","WJP","Total","Total","Total","Value",2.09,"Citizen Engagement","Open Government and Transparency","Other","People do not resort to violence to redress personal grievances (53)","",NA,"","","","","",NA,"","","","","WJP40","WJP40","","",""
"88","people do not resort to violence to redress personal grievances-WJP-Total","37-WJP-Total","3.3","People do not resort to violence to redress personal grievances","WJP","Total","Total","Total","Value",4.082,"Security","Crime","Other","People do not resort to violence to redress personal grievances (33)","",NA,"","","","","",NA,"","","","","WJP24","WJP24","","",""
"89","people do not resort to violence to redress personal grievances-WJP-Total","37-WJP-Total","3.3","People do not resort to violence to redress personal grievances","WJP","Total","Total","Total","Value",2.09,"Citizen Engagement","Open Government and Transparency","Other","People do not resort to violence to redress personal grievances (53)","",NA,"","","","","",NA,"","","","","WJP40","WJP40","","",""
"90","publicized laws and government data-WJP-Total","61-WJP-Total","3.1","Publicized laws and government data","WJP","Total","Total","Total","Value",4.03,"Security","Crime","Other","Publicized laws and government data (31)","",NA,"","","","","",NA,"","","","","WJP18","WJP18","","",""
"91","right to information-WJP-Total","62-WJP-Total","3.2","Right to information","WJP","Total","Total","Total","Value",4.045,"Security","Crime","Other","Right to information (32)","",NA,"","","","","",NA,"","","","","WJP21","WJP21","","",""
"92","right to petition the government and public participation-WJP-Total","75-WJP-Total","3.3","Right to petition the government and public participation","WJP","Total","Total","Total","Value",3.03,"Security","Crime","Other","Right to petition the government and public participation (33)","",NA,"","","","","",NA,"","","","","WJP25","WJP25","","",""
"93","right to petition the government and public participation-WJP-Total","75-WJP-Total","3.3","Right to petition the government and public participation","WJP","Total","Total","Total","Value",2.08,"Citizen Engagement","Open Government and Transparency","Other","Right to petition the government and public participation (53)","",NA,"","","","","",NA,"","","","","WJP41","WJP41","","",""
"94","right to petition the government and public participation-WJP-Total","24-WJP-Total","5.3","Right to petition the government and public participation","WJP","Total","Total","Total","Value",3.03,"Security","Crime","Other","Right to petition the government and public participation (33)","",NA,"","","","","",NA,"","","","","WJP25","WJP25","","",""
"95","right to petition the government and public participation-WJP-Total","24-WJP-Total","5.3","Right to petition the government and public participation","WJP","Total","Total","Total","Value",2.08,"Citizen Engagement","Open Government and Transparency","Other","Right to petition the government and public participation (53)","",NA,"","","","","",NA,"","","","","WJP41","WJP41","","",""
"96","the government does not expropriate without adequate compensation-WJP-Total","17-WJP-Total","6.5","The Government does not expropriate without adequate compensation","WJP","Total","Total","Total","Value",4.496,"Public Sector Management","Enforcement","Other","The Government does not expropriate without adequate compensation (65)","",NA,"","","","","",NA,"","","","","WJP47","WJP47","","",""
